"resource","consumer"
"Copepoda","Pagurus comptus"
"Copepoda","Polychaeta"
"Copepoda","Pseudechinus magellanicus"
"Copepoda","Harpagifer bispinis"
"Copepoda","Grimothea gregaria"
"Copepoda","Patagonotothen cornucola"
"Copepoda","Nemertea"
"Copepoda","Cephalopoda"
"Copepoda","Dissostichus eleginoides"
"Copepoda","Euphausiacea"
"Copepoda","Gammaridea"
"Copepoda","Peltarion spinulosum"
"Copepoda","Genypterus blacodes"
"Copepoda","Macruronus magellanicus"
"Copepoda","Sprattus fuegensis"
"Copepoda","Bathyraja griseocauda"
"Copepoda","Patagonotothen longipes"
"Copepoda","Patagonotothen sima"
"Copepoda","Patagonotothen tessellata"
"Copepoda","Arbacia dufresnii"
"Copepoda","Paralomis granulosa"
"Copepoda","Paranotothenia magellanica"
"Copepoda","Patagonotothen brevicauda"
"Copepoda","Patagonotothen ramsayi"
"Copepoda","Salilota australis"
"Copepoda","Polynoidae"
"Copepoda","Hydrozoa"
"Copepoda","Galaxias maculatus"
"Copepoda","Hyperiidea"
"Copepoda","Stromateus brasiliensis"
"Copepoda","Zygochlamys patagonica"
"Copepoda","Champsocephalus esox"
"Copepoda","Eleginops maclovinus"
"Copepoda","Lithodes santolla"
"Copepoda","Odontesthes nigricans"
"Cottoperca trigloides","Dissostichus eleginoides"
"Cottoperca trigloides","Bathyraja brachyurops"
"Cottoperca trigloides","Genypterus blacodes"
"Cottoperca trigloides","Bathyraja griseocauda"
"Cottoperca trigloides","Salilota australis"
"Cottoperca trigloides","Lagenorhynchus australis"
"Cottoperca trigloides","Spheniscus magellanicus"
"Cottoperca trigloides","Pygoscelis papua"
"Cottoperca trigloides","Phalacrocorax magellanicus"
"Crepipatella dilatata","Anasterias antarctica"
"Crepipatella dilatata","Asterina fimbriata"
"Crepipatella dilatata","Cosmasterias lurida"
"Crustacea","Acanthocyclus albatrossis"
"Crustacea","Eurypodius latreillii"
"Crustacea","Pagurus comptus"
"Crustacea","Grimothea gregaria"
"Crustacea","Cephalopoda"
"Crustacea","Myxine glutinosa"
"Crustacea","Peltarion spinulosum"
"Crustacea","Bathyraja brachyurops"
"Crustacea","Genypterus blacodes"
"Crustacea","Bathyraja griseocauda"
"Crustacea","Paralomis granulosa"
"Crustacea","Bathyraja albomaculata"
"Crustacea","Patagonotothen ramsayi"
"Crustacea","Polynoidae"
"Crustacea","Congiopodus peruvianus"
"Crustacea","Dipturus chilensis"
"Crustacea","Eleginops maclovinus"
"Crustacea","Schroederichthys bivius"
"Crustacea","Larus dominicanus"
"Crustacea","Larus scoresbii"
"Ctenophora","Macruronus magellanicus"
"Ctenophora","Patagonotothen ramsayi"
"Ctenophora","Salilota australis"
"Ctenophora","Stromateus brasiliensis"
"Cumacea","Polychaeta"
"Cumacea","Pseudechinus magellanicus"
"Cumacea","Dissostichus eleginoides"
"Cumacea","Ophiuroidea"
"Cumacea","Arbacia dufresnii"
"Cumacea","Bathyraja albomaculata"
"Cumacea","Nereididae"
"Cumacea","Eleginops maclovinus"
"Delesseriaceae","Pseudechinus magellanicus"
"Delesseriaceae","Grimothea gregaria"
"Delesseriaceae","Eleginops maclovinus"
"Derbesia sp","Pseudechinus magellanicus"
"Desmarestia sp","Laevilitorina caliginosa"
"Desmarestia sp","Grimothea gregaria"
"Desmarestia sp","Gammaridea"
"Bacillariophyceae","Crustacea"
"Bacillariophyceae","Ostracoda"
"Bacillariophyceae","Ascidiacea"
"Bacillariophyceae","Bivalvia"
"Bacillariophyceae","Crepipatella dilatata"
"Bacillariophyceae","Gaimardia trapesina"
"Bacillariophyceae","Halicarcinus planatus"
"Bacillariophyceae","Laevilitorina caliginosa"
"Bacillariophyceae","Mytilus edulis"
"Bacillariophyceae","Nacella deaurata"
"Bacillariophyceae","Nacella magellanica"
"Bacillariophyceae","Pagurus comptus"
"Bacillariophyceae","Polyplacophora"
"Bacillariophyceae","Pseudechinus magellanicus"
"Bacillariophyceae","Cumacea"
"Bacillariophyceae","Serpulidae"
"Bacillariophyceae","Grimothea gregaria"
"Bacillariophyceae","Gammaridea"
"Bacillariophyceae","Ophiuroidea"
"Bacillariophyceae","Terebellidae"
"Bacillariophyceae","Sprattus fuegensis"
"Bacillariophyceae","Arbacia dufresnii"
"Bacillariophyceae","Notobalanus flosculus"
"Bacillariophyceae","Nereididae"
"Bacillariophyceae","Polynoidae"
"Bacillariophyceae","Tanaidacea"
"Bacillariophyceae","Hydrozoa"
"Bacillariophyceae","Porifera"
"Bacillariophyceae","Zygochlamys patagonica"
"Bacillariophyceae","Ctenophora"
"Bacillariophyceae","Cirratulidae"
"Bacillariophyceae","Chthamalus sp"
"Bacillariophyceae","Glabraster antarctica"
"Dissostichus eleginoides","Bathyraja brachyurops"
"Dissostichus eleginoides","Cottoperca trigloides"
"Dissostichus eleginoides","Genypterus blacodes"
"Dissostichus eleginoides","Bathyraja griseocauda"
"Dissostichus eleginoides","Bathyraja albomaculata"
"Dissostichus eleginoides","Salilota australis"
"Dissostichus eleginoides","Spheniscus magellanicus"
"Dissostichus eleginoides","Pygoscelis papua"
"Dissostichus eleginoides","Thalassarche melanophris"
"Dissostichus eleginoides","Macronectes giganteus"
"Dissostichus eleginoides","Macronectes giganteus"
"Dissostichus eleginoides","Thalassarche melanophris"
"Echiura","Dissostichus eleginoides"
"Echiura","Ophiuroidea"
"Echiura","Eleginops maclovinus"
"Echiura","Schroederichthys bivius"
"Ectocarpus sp","Fissurella picta"
"Ectocarpus sp","Nacella deaurata"
"Ectocarpus sp","Nacella magellanica"
"Ectocarpus sp","Pseudechinus magellanicus"
"Ectocarpus sp","Grimothea gregaria"
"Ectocarpus sp","Eleginops maclovinus"
"Eleginops maclovinus","Cephalorhynchus commersonii"
"Eleginops maclovinus","Lagenorhynchus australis"
"Eleginops maclovinus","Spheniscus magellanicus"
"Eleginops maclovinus","Phalacrocorax atriceps"
"Eleginops maclovinus","Phalacrocorax magellanicus"
"Euphausiacea","Polychaeta"
"Euphausiacea","Cephalopoda"
"Euphausiacea","Dissostichus eleginoides"
"Euphausiacea","Ophiuroidea"
"Euphausiacea","Bathyraja brachyurops"
"Euphausiacea","Cottoperca trigloides"
"Euphausiacea","Genypterus blacodes"
"Euphausiacea","Macruronus magellanicus"
"Euphausiacea","Merluccius hubbsi"
"Euphausiacea","Sprattus fuegensis"
"Euphausiacea","Bathyraja griseocauda"
"Euphausiacea","Patagonotothen longipes"
"Euphausiacea","Patagonotothen tessellata"
"Euphausiacea","Bathyraja albomaculata"
"Euphausiacea","Patagonotothen ramsayi"
"Euphausiacea","Salilota australis"
"Euphausiacea","Hydrozoa"
"Euphausiacea","Hyperiidea"
"Euphausiacea","Odontesthes nigricans"
"Euphausiacea","Schroederichthys bivius"
"Euphausiacea","Thalassarche melanophris"
"Euphausiacea","Macronectes giganteus"
"Retrotapes exalbidus","Anasterias antarctica"
"Eurypodius latreillii","Anasterias antarctica"
"Eurypodius latreillii","Paranotothenia magellanica"
"Eurypodius latreillii","Patagonotothen ramsayi"
"Eurypodius latreillii","Dipturus chilensis"
"Eurypodius latreillii","Schroederichthys bivius"
"Exosphaeroma gigas","Anasterias antarctica"
"Exosphaeroma gigas","Pseudechinus magellanicus"
"Exosphaeroma gigas","Harpagifer bispinis"
"Exosphaeroma gigas","Patagonotothen cornucola"
"Exosphaeroma gigas","Patagonotothen longipes"
"Exosphaeroma gigas","Patagonotothen tessellata"
"Exosphaeroma gigas","Paranotothenia magellanica"
"Exosphaeroma gigas","Austrolycus depressiceps"
"Fissurella oriens","Anasterias antarctica"
"Fissurella oriens","Asterina fimbriata"
"Fissurella oriens","Cosmasterias lurida"
"Fissurella picta","Acanthocyclus albatrossis"
"Fissurella picta","Anasterias antarctica"
"Fissurella picta","Eurypodius latreillii"
"Fissurella picta","Peltarion spinulosum"
"Fissurella picta","Paralomis granulosa"
"Fissurella picta","Lithodes santolla"
"Fresh detritus","Crustacea"
"Fresh detritus","Gastropoda"
"Fresh detritus","Isopoda"
"Fresh detritus","Zooplankton"
"Fresh detritus","Ostracoda"
"Fresh detritus","Amphipoda"
"Fresh detritus","Ascidiacea"
"Fresh detritus","Aulacomya atra"
"Fresh detritus","Bivalvia"
"Fresh detritus","Crepipatella dilatata"
"Fresh detritus","Retrotapes exalbidus"
"Fresh detritus","Exosphaeroma gigas"
"Fresh detritus","Gaimardia trapesina"
"Fresh detritus","Halicarcinus planatus"
"Fresh detritus","Laevilitorina caliginosa"
"Fresh detritus","Mytilus edulis"
"Fresh detritus","Nacella deaurata"
"Fresh detritus","Notochthamalus scabrosus"
"Fresh detritus","Pareuthria fuscata"
"Fresh detritus","Perumytilus purpuratus"
"Fresh detritus","Polychaeta"
"Fresh detritus","Polyplacophora"
"Fresh detritus","Siphonaria lessonii"
"Fresh detritus","Spirorbinae"
"Fresh detritus","Bryozoa"
"Fresh detritus","Copepoda"
"Fresh detritus","Membranipora isabelleana"
"Fresh detritus","Serpulidae"
"Fresh detritus","Grimothea gregaria"
"Fresh detritus","Euphausiacea"
"Fresh detritus","Ophiuroidea"
"Fresh detritus","Terebellidae"
"Fresh detritus","Notobalanus flosculus"
"Fresh detritus","Echiura"
"Fresh detritus","Holothuroidea"
"Fresh detritus","Nereididae"
"Fresh detritus","Tanaidacea"
"Fresh detritus","Hiatella arctica"
"Fresh detritus","Hydrozoa"
"Fresh detritus","Porifera"
"Fresh detritus","Campylonotus vagans"
"Fresh detritus","Zygochlamys patagonica"
"Fresh detritus","Cirripedia"
"Fresh detritus","Chthamalus sp"
"Fresh detritus","Glabraster antarctica"
"Gaimardia trapesina","Anasterias antarctica"
"Gaimardia trapesina","Arbacia dufresnii"
"Gaimardia trapesina","Paranotothenia magellanica"
"Gaimardia trapesina","Asterina fimbriata"
"Gaimardia trapesina","Cosmasterias lurida"
"Gaimardia trapesina","Larus dominicanus"
"Gaimardia trapesina","Stercorarius chilensis"
"Galaxias maculatus","Odontesthes nigricans"
"Gammaridea","Harpagifer bispinis"
"Gammaridea","Patagonotothen cornucola"
"Gammaridea","Nemertea"
"Gammaridea","Glyceridae"
"Gammaridea","Ophiuroidea"
"Gammaridea","Bathyraja brachyurops"
"Gammaridea","Macruronus magellanicus"
"Gammaridea","Bathyraja griseocauda"
"Gammaridea","Bathyraja albomaculata"
"Gammaridea","Patagonotothen ramsayi"
"Gammaridea","Salilota australis"
"Gammaridea","Nereididae"
"Gammaridea","Polynoidae"
"Gammaridea","Hydrozoa"
"Gammaridea","Congiopodus peruvianus"
"Gammaridea","Dipturus chilensis"
"Gammaridea","Eleginops maclovinus"
"Gammaridea","Phalacrocorax atriceps"
"Gastropoda","Acanthocyclus albatrossis"
"Gastropoda","Anasterias antarctica"
"Gastropoda","Eurypodius latreillii"
"Gastropoda","Grimothea gregaria"
"Gastropoda","Patagonotothen cornucola"
"Gastropoda","Dissostichus eleginoides"
"Gastropoda","Myxine glutinosa"
"Gastropoda","Peltarion spinulosum"
"Gastropoda","Bathyraja brachyurops"
"Gastropoda","Cottoperca trigloides"
"Gastropoda","Macruronus magellanicus"
"Gastropoda","Bathyraja griseocauda"
"Gastropoda","Patagonotothen tessellata"
"Gastropoda","Arbacia dufresnii"
"Gastropoda","Paralomis granulosa"
"Gastropoda","Patagonotothen ramsayi"
"Gastropoda","Salilota australis"
"Gastropoda","Polynoidae"
"Gastropoda","Galaxias maculatus"
"Gastropoda","Dipturus chilensis"
"Gastropoda","Lithodes santolla"
"Gastropoda","Odontesthes nigricans"
"Gastropoda","Pygoscelis papua"
"Gastropoda","Larus dominicanus"
"Genypterus blacodes","Dissostichus eleginoides"
"Genypterus blacodes","Bathyraja brachyurops"
"Genypterus blacodes","Bathyraja griseocauda"
"Genypterus blacodes","Dipturus chilensis"
"Genypterus blacodes","Cephalorhynchus commersonii"
"Genypterus blacodes","Phocoena spinipinnis"
"Genypterus blacodes","Pseudorca crassidens"
"Genypterus blacodes","Larus scoresbii"
"Genypterus blacodes","Phalacrocorax atriceps"
"Genypterus blacodes","Phalacrocorax magellanicus"
"Glyceridae","Pagurus comptus"
